date,close,,,Fake date
11-Dec-14,61.74,,,11-Dec-01
4-Dec-14,61.49,,,4-Dec-01
27-Nov-14,57.31,,,27-Nov-01
20-Nov-14,67.67,,,20-Nov-01
13-Nov-14,67.69,,,13-Nov-01
6-Nov-14,56.46,,,6-Nov-01
30-Oct-14,53.32,,,30-Oct-01
23-Oct-14,49.18,,,23-Oct-01
16-Oct-14,41.41,,,16-Oct-01
9-Oct-14,41.79,,,9-Oct-01
2-Oct-14,37.79,,,2-Oct-01
25-Sep-14,34.26,,,25-Sep-01
18-Sep-14,38.9,,,18-Sep-01
11-Sep-14,53.71,,,11-Sep-01
4-Sep-14,42.45,,,4-Sep-01
28-Aug-14,30.96,,,28-Aug-01
21-Aug-14,27.67,,,21-Aug-01
14-Aug-14,30.17,,,14-Aug-01
7-Aug-14,32.39,,,7-Aug-01
31-Jul-14,28.28,,,31-Jul-01
24-Jul-14,34.43,,,24-Jul-01
17-Jul-14,31.25,,,17-Jul-01
10-Jul-14,34.25,,,10-Jul-01
3-Jul-14,36.7,,,3-Jul-01
26-Jun-14,28.29,,,26-Jun-01
19-Jun-14,22.55,,,19-Jun-01
12-Jun-14,20,,,12-Jun-01
5-Jun-14,14.28,,,5-Jun-01
29-May-14,14.26,,,29-May-01
22-May-14,14.26,,,22-May-01
15-May-14,14.32,,,15-May-01
8-May-14,13.74,,,8-May-01
1-May-14,14.48,,,1-May-01
24-Apr-14,16.67,,,24-Apr-01
17-Apr-14,19.48,,,17-Apr-01
10-Apr-14,23.54,,,10-Apr-01
3-Apr-14,26.18,,,3-Apr-01
27-Mar-14,26.28,,,27-Mar-01
20-Mar-14,26.28,,,20-Mar-01
13-Mar-14,26.52,,,13-Mar-01
6-Mar-14,23.42,,,6-Mar-01
27-Feb-14,23.99,,,27-Feb-01
20-Feb-14,27.39,,,20-Feb-01
13-Feb-14,27.24,,,13-Feb-01
6-Feb-14,31.46,,,6-Feb-01
30-Jan-14,33.81,,,30-Jan-01
23-Jan-14,42.57,,,23-Jan-01
16-Jan-14,26.93,,,16-Jan-01
9-Jan-14,26.93,,,9-Jan-01
2-Jan-14,32.69,,,2-Jan-01
26-Dec-14,32.69,,,26-Dec-00
19-Dec-14,37.19,,,19-Dec-00
12-Dec-14,40.79,,,12-Dec-00
5-Dec-14,42.89,,,5-Dec-00
28-Nov-14,46.66,,,28-Nov-00
21-Nov-14,46.48,,,21-Nov-00
14-Nov-14,47.14,,,14-Nov-00
7-Nov-14,55.03,,,7-Nov-00
31-Oct-14,81.12,,,31-Oct-00
24-Oct-14,86.96,,,24-Oct-00
17-Oct-14,76.63,,,17-Oct-00
10-Oct-14,71.46,,,10-Oct-00
3-Oct-14,73.63,,,3-Oct-00
26-Sep-14,74.78,,,26-Sep-00
19-Sep-14,73.29,,,19-Sep-00
12-Sep-14,70.07,,,12-Sep-00
5-Sep-14,67.79,,,5-Sep-00
29-Aug-14,55.71,,,29-Aug-00
22-Aug-14,46.79,,,22-Aug-00
15-Aug-14,53.93,,,15-Aug-00
8-Aug-14,53.05,,,8-Aug-00
1-Aug-14,57.18,,,1-Aug-00
25-Jul-14,57.9,,,25-Jul-00
18-Jul-14,61.78,,,18-Jul-00
11-Jul-14,62.33,,,11-Jul-00
4-Jul-14,61.47,,,4-Jul-00
27-Jun-14,55.42,,,27-Jun-00
20-Jun-14,51.7,,,20-Jun-00
13-Jun-14,47.28,,,13-Jun-00
6-Jun-14,29.84,,,6-Jun-00
30-May-14,21.66,,,30-May-00
23-May-14,26.35,,,23-May-00
16-May-14,28.1,,,16-May-00
9-May-14,29.27,,,9-May-00
2-May-14,30.83,,,2-May-00
25-Apr-14,30.67,,,25-Apr-00
18-Apr-14,43.46,,,18-Apr-00
11-Apr-14,32.56,,,11-Apr-00
4-Apr-14,31.06,,,4-Apr-00
28-Mar-14,30.62,,,28-Mar-00
21-Mar-14,35.22,,,21-Mar-00
14-Mar-14,35.88,,,14-Mar-00
7-Mar-14,50.31,,,7-Mar-00
1-Mar-14,51.9,,,29-Feb-00
22-Feb-14,56.96,,,22-Feb-00
15-Feb-14,59.34,,,15-Feb-00
8-Feb-14,60.88,,,8-Feb-00
1-Feb-14,61.81,,,1-Feb-00
25-Jan-14,74.5,,,25-Jan-00
18-Jan-14,70.45,,,18-Jan-00
11-Jan-14,57.15,,,11-Jan-00
4-Jan-14,52.77,,,4-Jan-00
