company	value	value_percent	contract	contract_percent	value_per_contract	registration_no	registration_no_with_MOF		This is the table to be input into HTML	
GLOBAL KOMITED	52,650,000	0.16%	9	0.10%	5,850,000	611788-P	357-02052193			
DUTA ALAM CONSTRUCTION	52,171,068	0.16%	2	0.02%	26,085,534		1104 A 2004 0016			
MARIMAS	51,893,878	0.16%	1	0.01%	51,893,878					
NWK BUILDERS	51,660,430	0.16%	1	0.01%	51,660,430					
MAZLEE CORPORATION	50,099,000	0.16%	2	0.02%	25,049,500	457176-A				
PINTAR USAHA	50,021,060	0.16%	5	0.06%	10,004,212	835363-U				
GEO-PROGRESSIVE	50,000,000	0.16%	1	0.01%	50,000,000	585222-V				
PERCETAKAN KESELAMATAN NASIONAL	49,998,900	0.16%	1	0.01%	49,998,900	166151-T				
MEXAJATI	49,924,920	0.16%	2	0.02%	24,962,460	489855-M				
AVP ENGINEERING	49,859,786	0.16%	4	0.05%	12,464,947	305835-A	357-02035165			
MEWAH KOTA	49,367,505	0.15%	2	0.02%	24,683,752	76368-X				
I-ILHAM CORPORATION	49,327,589	0.15%	1	0.01%	49,327,589	558192-X				
SPA INTEGRATED	49,315,676	0.15%	1	0.01%	49,315,676	252925-D	357-00038448			
ILIASCO CORPORATION	49,173,573	0.15%	1	0.01%	49,173,573	329439-P				
MVA ENGINEERING	47,620,191	0.15%	1	0.01%	47,620,191	847932W				
ERA FROZEN FOOD	47,075,814	0.15%	5	0.06%	9,415,163	641171-W				
ALMATAB	46,859,551	0.15%	1	0.01%	46,859,551					
ALAM JITU BINA	46,760,546	0.15%	1	0.01%	46,760,546	144519-H				
EMAS RAMAI	46,479,947	0.15%	1	0.01%	46,479,947	143016-T				
ARAH JITU	45,800,000	0.14%	1	0.01%	45,800,000	257419-T				
BUMI HANDAL	45,212,680	0.14%	1	0.01%	45,212,680	503111-H				
PELANGI WIRA	44,950,000	0.14%	1	0.01%	44,950,000	242243-X				
PRINSIP HASIL	44,753,170	0.14%	1	0.01%	44,753,170	633127P				
TH TECHNOLOGIES	44,243,606	0.14%	1	0.01%	44,243,606					
JOHAN TEKNOLOGI MAKLUMAT	43,609,409	0.14%	2	0.02%	21,804,705	347474-H				
ASTURI METAL BUILDERS	43,587,679	0.14%	2	0.02%	21,793,840	326994-M				
RAJA CHULAN DAN RAKAN	43,363,965	0.14%	3	0.03%	14,454,655	357-00002306				
ARTIMAL DE SYSTEM	43,000,000	0.13%	5	0.06%	8,600,000	465281-M				
PERLIS MARINE ENGINEERING	42,880,000	0.13%	1	0.01%	42,880,000	235461-V	357-00026618			
BINA JAYA MANTAP	42,674,582	0.13%	2	0.02%	21,337,291	280001-A				
MATTS HOLDINGS	42,559,307	0.13%	1	0.01%	42,559,307	205343-U				
TERAS ERAMAJU	42,028,491	0.13%	1	0.01%	42,028,491	777617-M				
Total	12,222,582,170	38.17%	909	10.23%						
